title,date,text
BUZZ-COMMENT-INR may hold its ground as RBI turns hawkish,2022-04-11,"April 11 (Reuters) - The Indian rupee could hold its ground versus the strengthening U.S. dollar and even gain slightly versus Asian currency peers on the Reserve Bank of India's baby steps towards policy normalisation and currency intervention, as well as expectations of foreign portfolio inflows.

The RBI on Friday held the repo rate at 4% and maintained its accommodative stance but introduced a new tool which sets a higher floor for the interest rate corridor, signalling a nuanced move away from its ultra-loose monetary policy .

The RBI prioritised inflation above growth for the first time in three years and raised its inflation forecast for the current fiscal year by 120 basis point to 5.7%, to better reflect actual price pressures. This should help restore its inflation-fighting credibility and support the INR.

India's foreign exchange reserves fell by $11.17 billion in the week ended April 1 - the steepest fall in two years - revealing the central bank's determined intervention to stem INR volatility.

The higher possibility of state-run Life Insurance Corp's record IPO going ahead in April {nL2N2VH0HN] and a merger proposal between two domestic financial giants will raise expectations of foreign portfolio inflows, which should support the INR.

With USD/INR likely to consolidate in 75.50-76.50 range within a broader 75.00-77.00 band, trading the range looks prudent.

For more click on

(Krishna Kumar is a Reuters market analyst. The views expressed are his own. Editing by Sonali Desai)

Released: 2022-4-14T03:46:18.000Z"
HDFC Bank Limited - Annual Report (SEC Filing - 20-F),2021-07-28,"* Click here to view this document in its original format

Annual Report (SEC Filing - 20-F)

Table of Contents

UNITED STATES

SECURITIES AND EXCHANGE COMMISSION

Washington, D.C. 20549

FORM

20-F

☐

REGISTRATION STATEMENT PURSUANT TO SECTION 12(b) OR (g) OF THE SECURITIES EXCHANGE ACT OF 1934

OR

☒

ANNUAL REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934

For the fiscal year ended March 31, 2021

OR

☐

TRANSITION REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934

For the transition period from to

OR

☐

SHELL COMPANY REPORT PURSUANT TO SECTION 13 OR 15(d) OF THE SECURITIES EXCHANGE ACT OF 1934

Date of event requiring this shell company report

Commission file number

001-15216

HDFC BANK LIMITED

(Exact name of Registrant as specified in its charter)

Not Applicable

(Translation of Registrant's name into English)

India

(Jurisdiction of incorporation or organization)

HDFC Bank House, Senapati Bapat Marg, Lower Parel, Mumbai400013, India

(Address of principal executive offices)

Name:

Santosh Haldankar

, Senior Vice President (Legal) and Company Secretary

Telephone:

-

22-3976-0711

Email: Santosh.Haldankar@hdfcbank.com

Office Address:

HDFC Bank Ltd; Legal & Secretarial Dept; 2nd floor, Zenith House

,

Opp. Race Course Gate No. 5 & 6 , Keshavrao Khadye Marg

,

Mahalaxmi(west)

,

Mumbai

400 034

,India.

(Name, telephone,

e-mail

and/or facsimile number and address of company contact person)

Securities registered or to be registered pursuant to Section 12(b) of the Act:

Title of each class                                                                              Trading Symbol(s)   Name of each exchange on which registered
American Depositary Shares, each representing three Equity Shares, Par value Rs. 1.0 per share   HDB                 The New York Stock Exchange


Securities registered or to be registered pursuant to Section 12(g) of the Act: Not Applicable

Securities for which there is a reporting obligation pursuant to Section 15(d) of the Act: Not Applicable

Indicate the number of outstanding shares of each of the issuer's classes of capital or common stock as of the close of the period covered by the annual report:

Equity Shares, as of March 31, 2021

5,512,776,482

Indicate by check mark if the registrant is a well-known seasoned issuer, as defined in Rule 405 of the Securities Act. Yes ☒ No ☐

If this report is an annual or transition report, indicate by check mark if the registrant is not required to file reports pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934. Yes ☐ No ☒

Note-Checking the box above will not relieve any registrant required to file reports pursuant to Section 13 or 15(d) of the Securities Exchange Act of 1934 from their obligations under those Sections.

Indicate by check mark whether the registrant (1) has filed all reports required to be filed by Section 13 or 15(d) of the Securities Exchange Act of 1934 during the preceding 12 months (or for such shorter period that the registrant was required to file such reports), and (2) has been subject to such filing requirements for the past 90 days. Yes ☒ No ☐

Indicate by check mark whether the registrant has submitted electronically every Interactive Data File required to be submitted pursuant to Rule 405 of Regulation

S-T

(§232.405 of this chapter) during the preceding 12 months (or for such shorter period that the registrant was required to submit such files). Yes ☒ No ☐

Indicate by check mark whether the registrant is a large accelerated filer, an accelerated filer, a

non-accelerated

filer, or an emerging growth company. See definition of 'large accelerated filer', 'accelerated filer' and 'emerging growth company' in

Rule 12b-2

of the Exchange Act. (Check one):

Large accelerated filer ☒ Accelerated

filer ☐ Non-accelerated

filer ☐ Emerging growth company ☐

If an emerging growth company that prepares its financial statements in accordance with U.S. GAAP, indicate by check mark if the registrant has elected not to use the extended transition period for complying with any new or revised financial accounting standards† provided pursuant to Section 13(a) of the Exchange Act. ☐

† The term 'new or revised financial accounting standard' refers to any update issued by the Financial Accounting Standards Board to its Accounting Standards Codification after April 5, 2012.

Indicate by check mark whether the registrant has filed a report on the attestation to its management's assessment of the effectiveness of its internal control over financial reporting under Section 404(b) of the Sarbanes-Oxley Act (15 U.S.C. 7262(b)) by the registered public accounting firm that prepared or issued its audit report. ☒

Indicate by check mark which basis of accounting the registrant has used to prepare the financial statements included in this filing:

U.S. GAAP ☒

International Financial Reporting Standards as issued

by the International Accounting Standards Board ☐

Other ☐

If 'Other' has been checked in response to the previous question, indicate by check mark which financial statement item the registrant has elected to follow: Item 17 ☐ Item 18 ☐

If this is an annual report, indicate by check mark whether the registrant is a shell company (as defined in Rule

12b-2

of the Exchange Act). Yes ☐ No ☒

Table of Contents

TABLE OF CONTENTS

EXCHANGE RATES AND CERTAIN DEFINED TERMS                                                   1     
FORWARD-LOOKING STATEMENTS                                                                 2     
BUSINESS                                                                                   3     
RISK FACTORS                                                                               33    
CERTAIN INFORMATION ABOUT OUR AMERICAN DEPOSITARY SHARES AND EQUITY SHARES                 59    
DESCRIPTION OF EQUITY SHARES                                                               60    
DESCRIPTION OF AMERICAN DEPOSITARY SHARES                                                  65    
DIVIDEND POLICY                                                                            75    
SELECTED FINANCIAL AND OTHER DATA                                                          76    
SELECTED STATISTICAL INFORMATION                                                           79    
MANAGEMENT'S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS      97    
MANAGEMENT                                                                                 125   
PRINCIPAL SHAREHOLDERS                                                                     147   
RELATED PARTY TRANSACTIONS                                                                 148   
TAXATION                                                                                   150   
SUPERVISION AND REGULATION                                                                 157   
EXCHANGE CONTROLS                                                                          193   
RESTRICTIONS ON FOREIGN OWNERSHIP OF INDIAN SECURITIES                                     195   
ADDITIONAL INFORMATION                                                                     199   
MANAGEMENT'S REPORT ON INTERNAL CONTROL OVER FINANCIAL REPORTING                           200   
EXHIBIT INDEX                                                                                    
SIGNATURES                                                                                       


i

Table of Contents

CROSS REFERENCE SHEET

Form20-F

           Item Caption                                                                            Location                                                                                 
         

Part I                                                                                            
         

Item 1      Identity of Directors, Senior Management and Advisors                                  Not Applicable                                                                         
         

Item 2      Offer Statistics and Expected Timetable                                                Not Applicable                                                                         
         

Item 3      Key Information                                                                        Exchange Rates and Certain Defined Terms                                                 1 
         

           Risk Factors                                                                             33 
         

           Selected Financial and Other Data                                                        76 
         

Item 4      Information on the Company                                                             Business                                                                                 3 
         

           Selected Statistical Information                                                         79 
         

           Management's Discussion and Analysis of Financial Condition and Results of Operations    97 
         

           Principal Shareholders                                                                   147 
         

           Related Party Transactions                                                               148 
         

           Supervision and Regulation                                                               157 
         

Item 5      Operating and Financial Review and Prospects                                           Management's Discussion and Analysis of Financial Condition and Results of Operations    97 
         

Item 6      Directors, Senior Management and Employees                                             Business-Employees                                                                       29 
         

           Management                                                                               125 
         

           Principal Shareholders                                                                   147 
         

Item 7      Major Shareholders and Related Party Transactions                                      Principal Shareholders                                                                   147 
         

           Management-Loans to Members of our Senior Management                                     138 
         

           Related Party Transactions                                                               148 
         

Item 8      Financial Information                                                                  Report of Independent Registered Public Accounting Firms                                 F-2 
         

           Consolidated Financial Statements and the Notes thereto                                  F-12 
         

           Business-Legal Proceedings                                                               29 
         

Item 9      The Offer and Listing                                                                  Certain Information About Our American Depositary Share and Equity Shares                59 
         

           Restrictions on Foreign Ownership of Indian Securities                                   195 
         

Item 10     Additional Information                                                                 Management                                                                               125 
         

           Description of Equity Shares                                                             60 
         

           Dividend Policy                                                                          75 
         

           Taxation                                                                                 150 
         

           Supervision and Regulation                                                               157 
         

           Exchange Controls                                                                        193 


ii

Table of Contents

            Item Caption                                                                                         Location                                                                                                     
          

            Restrictions on Foreign Ownership of Indian Securities                                                                                                                                                    195   
          

            Additional Information                                                                                                                                                                                    199   
          

Item 11      Quantitative and Qualitative Disclosures About Market Risk                                          Business-Risk Management                                                                                     21    
          

            Selected Statistical Information                                                                                                                                                                          79    
          

Item 12      Description of Securities Other than Equity Securities                                              Not Applicable                                                                                       
          

Item 12D     ADSs fee disclosure                                                                                 Description of American Depositary Shares-Fees and Charges for Holders of American Depositary Shares         68    
Part II                                                                                                         
          

Item 13      Defaults, Dividend Arrearages and Delinquencies                                                     Not Applicable                                                                                       
          

Item 14      Material Modifications to the Rights of Security Holders and Use of Proceeds                        Not Applicable                                                                                       
          

Item 15      Controls and Procedures                                                                             Management-Controls and Procedures                                                                           139   
          

            Management's Report on Internal Control Over Financial Reporting                                                                                                                                          200   
          

            Report of Independent Registered Public Accounting Firm-Internal Controls Over Financial Reporting                                                                                                        201   
          

Item 16A     Audit Committee Financial Expert                                                                    Management-Audit Committee Financial Expert                                                                  140   
          

Item 16B     Code of Ethics                                                                                      Management-Code of Ethics                                                                                    140   
          

Item 16C     Principal Accountant Fees and Services                                                              Management-Principal Accountant Fees and Services                                                            141   
          

Item 16D     Exemption from the Listing Standards for Audit Committees                                           Not Applicable                                                                                       
          

Item 16E     Purchases of Equity Securities by the Issuer and Affiliated Purchasers                              Not Applicable                                                                                       
          

Item 16F     Changes in or disagreements with accountants                                                        Not Applicable                                                                                       
          

Item 16G     Significant Differences in Corporate Governance Practices                                           Management-Compliance with NYSE Listing Standards on Corporate Governance                                    141   
          

Item 16H     Mine Safety Disclosure                                                                              Not Applicable                                                                                       


iii

Table of Contents

EXCHANGE RATES AND CERTAIN DEFINED TERMS

In this document, all references to 'we', 'us', 'our', 'HDFC Bank' or 'the Bank' shall mean HDFC Bank Limited or where the context requires also to its subsidiaries whose financials are consolidated for accounting purposes. References to the 'U.S.' or 'United States' are to the United States of America, its territories and its possessions. References to 'India' are to the Republic of India. References to the 'Companies Act' in the document mean the Indian Companies Act, 2013 and all rules and regulations issued thereunder. References to '$' or 'US$' or 'dollars' or 'United States dollars' are to the legal currency of the United States and references to 'Rs.', 'INR', 'rupees' or 'Indian rupees' are to the legal currency of India.

Our financial statements are presented in Indian rupees and in some cases translated into United States dollars. The financial statements and all other financial data included in this report, except as otherwise noted, are prepared in accordance with United States generally accepted accounting principles, or U.S. GAAP. U.S. GAAP differs in certain material respects from accounting principles generally accepted in India, the requirements of India's Banking Regulation Act and related regulations issued by the Reserve Bank of India ('RBI') (collectively, 'Indian GAAP'), which form the basis of our statutory general purpose financial statements in India. Principal differences applicable to our business include: determination of the allowance for credit losses, classification and valuation of investments, accounting for deferred income taxes, stock-based compensation, loan origination fees, derivative financial instruments, business combinations and the presentation format and disclosures of the financial statements and related notes. References to a particular 'fiscal' are to our fiscal year ended March 31 of such year.

Fluctuations in the exchange rate between the Indian rupee and the United States dollar will affect the United States dollar equivalent of the Indian rupee price of the equity shares on the Indian stock exchanges and, as a result, will affect the market price of our American Depositary Shares ('ADSs') in the United States. These fluctuations will also affect the conversion into United States dollars by the depositary of any cash dividends paid in Indian rupees on the equity shares represented by ADSs.

Investor expectations that reforms implemented by the Government of India (the 'Government') will lead to an improvement in the long-term growth outlook helped to improve the rupee's performance, reducing the depreciation trend to 3.85 percent in fiscal 2015. During fiscal 2016, the rupee depreciated by 6.32 percent primarily reflecting global risk aversion and a strong United States dollar. However, in line with other emerging markets, which experienced currency appreciation in fiscal 2017, the Indian rupee also appreciated by 2.1 percent against the United States dollar. This was mainly attributed to repricing of the Indian assets by international investors (driven by domestic economic and political stability) alongside the disappointment relating to the United States reform agenda. In fiscal 2018, the rupee ranged between a high of Rs. 65.71 per US$ 1.00 and a low of Rs. 63.38 per US$ 1.00. Pressure developed in the last two quarters of fiscal 2018 as oil prices rose and trade war risks escalated globally. In fiscal 2019, while the rupee depreciated overall by 6.3 percent against the United States dollar, it ranged between a high of Rs. 74.4 per US$ 1.00 and a low of Rs. 64.85 per US$ 1.00. Rising oil prices and a slowdown in global trade volumes, as well as a risk aversion towards emerging market currencies (because of tariffs and trade war risks) have all affected the rupee negatively in fiscal 2019. The rupee further depreciated in fiscal 2020, amid weak global demand, low domestic economic growth and foreign portfolio investment outflows, as well as a result of foreign investors becoming more risk averse with respect to investments in India. In fiscal 2020, the rupee ranged between a high of Rs. 76.37 per US$ 1.00 and a low of Rs. 68.40 per US$ 1.00. The rupee appreciated by 2.8 percent in fiscal 2021, in part due to a weak dollar and robust foreign flows. In fiscal 2021, the rupee traded in the range of 75.08-73.14 per US $1.00.

